Unnamed: 0,breakfast1,breakfast2,breakfast3,snack1,snack2,snack3,snack4,rice,special,soup,kimchi,special_soup_needed,special_soup_notneeded,vegitable_soup,nonvegitable_soup,possible_with_special,morning_soup_comb1,morning_soup_comb2,morning_soup_comb3,side_dish1,side_dish2,empty,0_x,1_x,2_x,3_x,4_x,5_x,6_x,7_x,8_x,9_x,10_x,11_x,12_x,13_x,14_x,15_x,16_x,17_x,18_x,19_x,20_x,21_x,22_x,23_x,24_x,25_x,26_x,27_x,28_x,29_x,30_x,31_x,0_y,1_y,2_y,3_y,4_y,5_y,6_y,7_y,8_y,9_y,10_y,11_y,12_y,13_y,14_y,15_y,16_y,17_y,18_y,19_y,20_y,21_y,22_y,23_y,24_y,25_y,26_y,27_y,28_y,29_y,30_y,31_y
S¿þÁö°¨ÀÚ±¸ÀÌ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36828160285949707,-0.4680725634098053,0.9938689470291138,0.8697460889816284,0.4050070345401764,0.7312250733375549,-1.046433448791504,2.383348226547241,-0.1785902976989746,-1.224307656288147,-0.42932257056236267,-0.5105556845664978,-1.878652811050415,-0.5617786049842834,0.07463450729846954,-0.12558110058307648,0.3857870101928711,0.37881478667259216,0.4324110746383667,-0.3129347860813141,0.48080572485923767,0.5614972114562988,0.5080479979515076,0.6696825623512268,-0.8085542917251587,-0.3888607919216156,0.8062083125114441,0.34189867973327637,-0.7541666626930237,-0.22142340242862701,1.1509116888046265,0.27622368931770325,0.5817973,0.0,0.0,0.0,0.03552544,0.0,0.0,0.0,0.0,0.30564994,0.0,0.0,0.0,2.624486,0.32684743,1.9050068,1.7475657,0.0,0.29108387,0.0,0.0,0.0,2.2770348,0.97726977,0.0,0.0,0.0,0.0,0.0,0.70377105,0.0,0.43065912
´ß°¡½¿»ìºÎÃßººÀ½,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.061176687479019165,-0.8393944501876831,0.867710530757904,-1.311726689338684,-0.06468839943408966,-0.5655876398086548,-1.4913886785507202,1.2906800508499146,0.5719233751296997,-0.2565632462501526,-0.060104068368673325,-0.8935089111328125,-1.1194111108779907,-0.6846489906311035,-0.47476133704185486,-0.051642511039972305,-0.38559287786483765,0.66294264793396,0.5544160008430481,-0.10704995691776276,0.9923408627510071,0.3504064381122589,0.3715094029903412,-1.18853759765625,-2.0691206455230713,-0.7721493244171143,0.706189751625061,1.0744678974151611,-0.3145925998687744,0.8721374273300171,0.6318743824958801,0.49075356125831604,0.0,1.7933487,0.0,0.0,0.0,0.0,0.0,0.6125401,0.0,0.499368,0.0,1.8083562,0.66387737,0.0,0.0,0.0,2.9684777,0.0,0.81660545,0.0,0.0,0.0,1.6384573,0.0,0.0,0.0,0.9475057,0.0,0.0,3.1265209,0.0,0.0
¹Ì¿ª¹Ì¼ÒÀå±¹,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.349463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7605093,0.0,0.0,0.0,0.0,0.0,2.1813197,0.0,0.0,0.0,0.23777315,0.0,0.0,0.0,0.0,0.59792876,3.3850663
´ß´Ù¸®ÄÉÃ¸Á¶¸²,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.843013,13.240876,0.0,2.8305936,0.0,0.0,0.0,0.0,9.239832,0.0,0.0,0.0,0.0,0.0,0.0,6.1979275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.247396,0.0,0.0,13.316588,0.0,0.0
Bº¹¼þ¾Æ(¹éµµ)-60g,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2788368463516235,-1.269729733467102,0.3399942219257355,1.0373607873916626,1.423372507095337,-3.429769515991211,0.11375658959150314,-0.31234320998191833,-3.1777327060699463,-0.19447176158428192,1.4355882406234741,-2.8957104682922363,2.1945953369140625,1.85123872756958,-1.8973791599273682,-0.9747826457023621,-2.9075863361358643,-0.10622896254062653,0.052186090499162674,-0.3421754240989685,-0.8218687176704407,2.3788137435913086,-0.6553328037261963,0.650175154209137,-0.8023313283920288,-2.1735565662384033,0.7167823910713196,-1.7798523902893066,-0.4828486442565918,-0.6710299849510193,1.9899522066116333,-2.1152682304382324,1.0007128,6.4749937,0.0,0.0,10.744863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6831186,2.6139166,0.0,1.2474157,7.460397,0.0,1.846114,0.0,0.0,0.0,0.0,1.8503919,0.0,0.0,0.0,0.0,0.0
S¹Ù³ª³ªÇÖÄÉÀÌÅ©,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3456765,0.0,0.0,0.0,4.5543146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94101816,1.0768315,0.0,0.0,0.0,3.0278754,0.0,0.0,0.0,2.8163927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28102696
¹è¹«»ýÃ¤,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1.5259888172149658,-0.2222013920545578,0.17210324108600616,-0.4378339648246765,-0.5429229140281677,0.5331718325614929,-0.9500110745429993,0.25863397121429443,0.7809367775917053,-0.8808698058128357,0.9347901940345764,-0.03585263714194298,-0.609870195388794,-1.1922900676727295,0.5693292021751404,0.19302645325660706,-0.18692158162593842,0.06408288329839706,-0.4682868719100952,0.27222052216529846,1.0194249153137207,-0.2110464721918106,0.506751298904419,-0.4640178382396698,-0.6541464328765869,0.11461468040943146,-0.5103614330291748,0.25105392932891846,-0.746717095375061,1.11836576461792,-0.5520278215408325,-0.15231694281101227,0.0,0.0,0.0,0.0,1.735276,0.0,0.0,5.3493023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5175549,9.509252,0.0,0.32973516,0.0,3.5182242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SµÎÀ¯(100ml),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6612237,0.0,0.0,0.0,0.02720046,0.0,0.0,0.57015216,1.09444,0.790278,0.0,0.0,0.0,0.86748755,0.90692693,1.2283647,1.0943478,0.69291687,0.26825088,0.0,0.0,0.06067592,0.42305478,0.0,0.49335736,0.0,0.0,0.0,0.2648561,0.5444709,0.0,1.2350769
B´ç±Ù±èÁ×,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.07315,0.0,0.0,0.0,4.0904093,0.0,0.0,0.0,0.16360804,0.0,0.0,0.0,0.0,0.0,4.987319,0.0,0.0,0.0,0.0,0.9540142,0.0,5.0415864,0.0,0.0,0.0,0.0,0.0,0.0,0.10694161,0.0,0.0,0.0
¼Ò°í±âÆØÀÌ¹ö¼¸±¹,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.16030091047286987,-0.6462089419364929,-0.3764711320400238,-0.10682495683431625,-0.18988166749477386,-0.03952835127711296,-0.6415828466415405,0.14487941563129425,0.19003497064113617,-0.39947307109832764,0.519554078578949,0.08193741738796234,-0.303520530462265,-0.5229156613349915,0.5832650661468506,-0.4598110616207123,0.41978469491004944,0.09391047060489655,0.20030584931373596,0.012091555632650852,0.35642027854919434,0.12881901860237122,0.7266126275062561,0.17884227633476257,-0.5789832472801208,-0.4656493663787842,0.4953228235244751,0.6329861879348755,0.38772082328796387,0.7237045168876648,-0.13681627810001373,-0.2525497078895569,0.48955208,0.0,0.0,0.0,0.0,0.0,0.0,2.774873,0.0,2.498356,0.0,0.0,0.0,0.0,0.0,1.2252308,0.0,0.0,1.3224113,2.05723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44717747,0.0,0.0,0.0,0.0
