Unnamed: 0,breakfast1,breakfast2,breakfast3,snack1,snack2,snack3,snack4,rice,special,soup,kimchi,special_soup_needed,special_soup_notneeded,vegitable_soup,nonvegitable_soup,possible_with_special,morning_soup_comb1,morning_soup_comb2,morning_soup_comb3,side_dish1,side_dish2,empty,0_x,1_x,2_x,3_x,4_x,5_x,6_x,7_x,8_x,9_x,10_x,11_x,12_x,13_x,14_x,15_x,16_x,17_x,18_x,19_x,20_x,21_x,22_x,23_x,24_x,25_x,26_x,27_x,28_x,29_x,30_x,31_x,0_y,1_y,2_y,3_y,4_y,5_y,6_y,7_y,8_y,9_y,10_y,11_y,12_y,13_y,14_y,15_y,16_y,17_y,18_y,19_y,20_y,21_y,22_y,23_y,24_y,25_y,26_y,27_y,28_y,29_y,30_y,31_y
°í±¸¸¶Â¥Àå¹ä,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.473561,0.0,0.0,0.0,0.0,0.0,0.0,5.456444,0.0,0.0,0.0,0.0,0.0,0.0,14.117357,0.0,0.0,0.0,0.0,0.0,0.0,4.446619,0.0,0.0,0.0,7.490468,0.0,0.0,0.0
¸ÞÃß¸®¾ËÃ¤¼ÒÆøÂý,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2044125,0.0,0.0,3.789295,0.0,0.0,9.31461,0.0,0.0,0.0,0.0,4.64948,0.0,0.0,5.05884,1.0708847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5167098,0.0,0.0,0.0,0.9460726,0.0,0.0
Bºê·ÎÄÝ¸®¼Ò°í±âÁ×,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3696288,0.0,0.0,0.0,0.5287844,1.5466838,0.0,0.0,0.0,0.027233958,0.0,0.0,0.0,0.0,0.3551039,0.0,0.0,0.0,3.7560697,0.0,0.0,0.0
B´ß°¡½¿»ì¿Á¼ö¼öÁ×,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9195873,0.0,0.0,0.0,0.0,2.9351115,0.0,0.0,0.0,0.0,0.78533554,0.0,0.0,2.3191774,5.8476386,0.0,0.0,0.0,6.323465,0.0,0.0,0.0
S¾¾¸®¾ó,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.49159,0.0,0.0,0.0,36.891235,0.0,0.0,0.0,0.0,0.0,22.715473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
µ¿ÅÂ»ì¹«±¹,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3.333012104034424,0.8820449709892273,-0.9381253719329834,-0.2289956957101822,1.3648756742477417,-0.27617311477661133,2.607046365737915,0.3278791308403015,-1.7905627489089966,0.08800598978996277,0.07694210112094879,-1.0262700319290161,0.015405651181936264,0.4637513756752014,0.7833185791969299,-0.1400577425956726,-1.871421456336975,1.452996015548706,0.9973708391189575,1.1468614339828491,0.15703251957893372,0.9954305291175842,-0.1309567391872406,1.6595070362091064,0.7086417078971863,0.08920130878686905,0.8437450528144836,1.9326741695404053,0.8903400301933289,-0.858020544052124,0.5568155646324158,-1.1303551197052002,0.0,9.679122,0.0,4.4561553,0.0,0.0,0.0,0.0,3.1677222,0.0,8.493298,0.0,0.0,0.0,8.595247,0.0,0.0,0.0,1.6899668,0.0,0.0,0.0,6.9619493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
¾î¹¬ÆÄÇÁ¸®Ä«ººÀ½,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5672781,0.0,0.0,3.2665124,0.0,0.0,0.80358696,0.0,0.0,0.09830505,0.0,0.0,0.0,1.1556636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7428514,0.0,1.2928573,0.0,0.0,0.3377843,1.4268767,0.3772902,0.0
¿ì°ÅÁöµÈÀå±¹,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4893045,0.0,6.382187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.677939,0.0,2.4382515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
»õ¼ÛÀÌ¹ö¼¸Ä«·¹¶óÀÌ½º,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7922454,0.0,0.0,0.0,0.0,0.0,0.0,4.137205,0.0,0.0,0.0,0.0,0.781797,0.0,6.561999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5093694,0.0,0.0,0.0
ÆÄÀÎ¾ÖÇÃººÀ½¹ä,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.69883,0.0,2.693005,0.0,0.0,0.0,0.0,2.73063,0.0,0.0,0.0,0.0,0.0,0.0,5.3717446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.502329,1.228672,0.0,3.1661806
