,name,weight,Energy,Protein,Fat,Carbohydrate,Total Dietary,Calcium,Iron,Sodium,Retinol,¥â-Carotene,Vitamin A,Vitamin B1 (Thiamine),Vitamin B2 (Rivoflavin),Vitamin C,VitaminD,Linoleic Acid,Alpha-Linolenic Acid,breakfast1,breakfast2,breakfast3,snack1,snack2,snack3,snack4,rice,special,soup,kimchi,special_soup_needed,special_soup_notneeded,vegitable_soup,nonvegitable_soup,possible_with_special,morning_soup_comb1,morning_soup_comb2,morning_soup_comb3,side_dish1,side_dish2,empty,rice_type1,rice_type2,rice_type3,rice_type4,rice_type5,rice_type6,rice_type7,rice_type8,rice_type9,rice_type10,rice_type11,rice_type12,rice_type13,rice_type14,rice_type15,rice_type16,rice_type17,rice_type18,rice_type19,rice_type20,rice_type21,rice_type22,rice_type23,rice_type24,¹Ð,½Ò,¸Þ¹Ð,°¨ÀÚ,´ëµÎ,¶¥Äá,È£µÎ,Àã,¹ã,¾Æ¸óµå,ÇìÁñ³Ó,Ä³½´³Ó,ÇÇÄ­,ÇÇ½ºÅ¸Ä¡¿À,µé±ú,Âü±ú,¾¾¾Ñ,µÅÁö,¿À¸®,´ß,±âÅ¸°¡±Ý·ù,¼Ò,³­·ù,¿ìÀ¯,ºÓÀº»ì»ý¼±,Èò»ì»ý¼±,±âÅ¸,Àå¾î,¸êÄ¡,°Ô,»õ¿ì,°¡Àç,"Á¶°³,²¿¸·",±¼,"È«ÇÕ,´ãÄ¡",¿ÀÂ¡¾î,¹®¾î,³«Áö,°íµÕ,¼Ò¶ó,Àüº¹,¿ÀÀÌ,¸¶´Ã,»ø·¯¸®,´ç±Ù,ºê·ÎÄÝ¸®,¾çÆÄ,°ÜÀÚ,ÈÄÃß,Åä¸¶Åä,Ã¼¸®,ÀÚµÎ,Å°À§,¹Ù³ª³ª,»ç°ú,¹è,ÄÚÄÚ³Ó,º¹¼þ¾Æ,¸Þ·Ð,¼ö¹Ú,½ÃÆ®·¯½º,¸Á°í,¾ÆÈ²»ê·ù,¿¬Áß,1¿ù,2¿ù,3¿ù,4¿ù,5¿ù,6¿ù,7¿ù,8¿ù,9¿ù,10¿ù,11¿ù,12¿ù
10,B¼ÛÆí(75g),75,168,4.425,2.055,33.0075,0.825,23.25,0.5325,129.75,0,0,0,0.0195,0.027,0,0,940.1325,136.335,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,B¾¦¶±(75g),195,383.65,7.1375,0.9335,87.228,2.93,39.3,1.9255,385.6,0,830.6,69.21666667,0.02135,0.0966,1.314,0,313.3155,48.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
12,B¾¦¼³±â(75g),75,154.5,3.375,0.6,33.9,0,18,1.35,117.75,0,8.25,0.6875,0.0375,0.03,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,BÀýÆí(75g),75,161.25,2.7675,0.3675,36.78,0.75,7.5,0.1275,165,0,0,0,0.00675,0.009,0,0,127.6275,4.68,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,BÁõÆí(75g),75,148.5,2.2425,0.4275,33.9225,1.2,6,0.0525,216.75,0,0,0,0,0.02325,0,0,168.1725,8.55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15,B°¡·¡¶±±¸ÀÌ(75g),75,159.75,2.7825,0.2775,36.6,0.525,7.5,0.105,195.75,0,0,0,0.00525,0.00975,0,0,91.5375,3.4725,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16,B³ë¶õ½Ã·ç¶±(75g),75,137.25,4.3725,0.3075,29.205,2.325,13.5,0.66,174.75,0,1.5,0.125,0.0225,0.02325,0,0,111.615,24.18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17,B½Ã·ç¶±(75g),75,137.25,4.3725,0.3075,29.205,2.325,13.5,0.66,174.75,0,1.5,0.125,0.0225,0.02325,0,0,111.615,24.18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18,BÀÎÀý¹Ì(75g),75,173.25,4.14,0.8625,37.2675,1.575,9,0.2475,252.75,0,0,0,0.03,0.0225,0,0,419.565,57.7575,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
19,B(Àú´ç)¾¾¸®¾ó(30g),30,118.2,2.04,0.837,25.599,0.99,3.3,2.691,165.3,302.4,0,302.4,0.4848,1.0212,46.581,1.197,292.674,12.168,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
